351,1088,motorcycleorange,b' \n\n'
352,1090,motorcycleorange,b' \n\n'
353,1093,motorcycleyellow,b' \n\n'
354,1099,busgreen,b''
355,1111,truckyellow,b''
356,1117,busgreen,b''
357,1119,busgreen,b''
358,1140,busorange,b''
359,1140,carwhite,b''
360,1142,busorange,b''
361,1143,carwhite,b''
362,1145,busorange,b''
363,1147,carred,b''
364,1151,truckred,b''
365,1157,truckorange,b''
366,1157,carorange,b''
367,1166,carblue,b' \n\n'
368,1167,caryellow,b' \n\n'
369,1169,truckyellow,b' \n\n'
370,1169,cargreen,b' \n\n'
371,1172,caryellow,b' \n\n'
372,1172,truckorange,b' \n\n'
373,1174,truckorange,b' \n\n'
374,1176,cargreen,b' \n\n'
375,1181,cargreen,b' \n\n'
376,1182,truckorange,b' \n\n'
377,1182,carorange,b' \n\n'
378,1186,busorange,b' \n\n'
379,1188,truckorange,b' \n\n'
380,1194,truckorange,b' \n\n'
381,1196,busorange,b' \n\n'
382,1198,caryellow,b' \n\n'
383,1200,busorange,b''
384,1201,carblue,b' \n\n'
385,1204,truckorange,b' \n\n'
386,1207,carorange,b' \n\n'
387,1208,carorange,b''
388,1208,caryellow,b''
389,1208,motorcycleorange,b''
390,1209,motorcyclewhite,b''
391,1210,truckgreen,b''
392,1210,truckorange,b''
393,1210,motorcycleyellow,b''
394,1211,cargreen,b''
395,1212,motorcycleyellow,b''
396,1214,motorcycleyellow,b''
397,1214,carred,b''
398,1221,carwhite,b''
399,1228,carorange,b''
400,1230,motorcycleyellow,b''
401,1231,motorcyclegreen,b''
402,1234,busgreen,b' \n\n'
403,1235,motorcyclewhite,b' \n\n'
404,1237,motorcycleorange,b' \n\n'
405,1240,motorcyclegreen,b' \n\n'
406,1240,cargreen,b' \n\n'
407,1243,busgreen,b' \n\n'
408,1244,motorcyclegreen,b' \n\n'
409,1246,busgreen,b' \n\n'
410,1247,motorcyclegreen,b' \n\n'
411,1249,busgreen,b' \n\n'
412,1250,carwhite,b''
413,1251,motorcyclewhite,b''
414,1268,truckorange,b''
415,1271,busyellow,b''
416,1277,truckyellow,b''
417,1277,buswhite,b''
418,1279,motorcyclegreen,b''
419,1281,caryellow,b''
420,1283,busgreen,b''
421,1291,truckgreen,b''
422,1299,truckyellow,b' \n\n'
423,1300,truckyellow,b' \n\n'
424,1301,truckwhite,b''
425,1302,busgreen,b''
426,1303,truckyellow,b''
427,1308,busgreen,b''
428,1320,caryellow,b''
429,1337,carorange,b''
430,1342,cargreen,b' \n\n'
431,1347,busorange,b' \n\n'
432,1349,cargreen,b''
433,1351,truckgreen,b' \n\n'
434,1355,busorange,b' \n\n'
435,1356,motorcyclewhite,b' \n\n'
436,1358,truckorange,b' \n\n'
437,1359,truckwhite,b' \n\n'
438,1365,carwhite,b' \n\n'
439,1367,carwhite,b' \n\n'
440,1367,truckorange,b' \n\n'
441,1367,truckblue,b' \n\n'
442,1367,cargreen,b' \n\n'
443,1367,truckgreen,b' \n\n'
444,1371,carwhite,b' \n\n'
445,1372,truckgreen,b' \n\n'
446,1375,carorange,b' \n\n'
447,1380,cargreen,b' \n\n'
448,1384,truckgreen,b' \n\n'
449,1391,motorcyclegreen,b' \n\n'
450,1394,motorcyclegreen,b''
451,1397,motorcyclegreen,b''
452,1398,cargreen,b' \n\n'
453,1401,truckyellow,b''
454,1409,truckwhite,b' \n\n'
455,1412,truckwhite,b' \n\n'
456,1412,truckgreen,b' \n\n'
457,1413,carwhite,b' \n\n'
458,1413,truckgreen,b' \n\n'
459,1416,carwhite,b' \n\n'
460,1419,truckyellow,b''
461,1424,motorcyclegreen,b' \n\n'
462,1426,motorcycleyellow,b' \n\n'
463,1430,motorcyclegreen,b' \n\n'
464,1433,carorange,b' \n\n'
465,1436,motorcyclegreen,b' \n\n'
466,1436,cargreen,b' \n\n'
467,1438,cargreen,b' \n\n'
468,1439,busgreen,b' \n\n'
469,1439,truckwhite,b' \n\n'
470,1441,truckwhite,b' \n\n'
471,1448,busyellow,b' \n\n'
472,1468,truckyellow,b''
473,1477,truckwhite,b''
474,1491,cargreen,b''
475,1499,truckwhite,b' \n\n'
476,1501,cargreen,b''
477,1507,cargreen,b''
478,1509,cargreen,b''
479,1511,truckgreen,b''
480,1514,truckwhite,b''
481,1516,truckwhite,b' \n\n'
482,1518,truckgreen,b' \n\n'
483,1520,cargreen,b' \n\n'
484,1523,busgreen,b' \n\n'
485,1525,cargreen,b' \n\n'
486,1526,busgreen,b' \n\n'
487,1535,truckgreen,b'   \n\n'
488,1585,busgreen,b''
489,1599,truckred,b' \n\n'
490,1600,truckwhite,b''
491,1601,motorcyclegreen,b''
492,1605,motorcyclegreen,b''
493,1607,motorcyclegreen,b''
494,1610,busgreen,b''
495,1610,motorcyclegreen,b''
496,1610,carwhite,b''
497,1613,truckwhite,b''
498,1614,motorcycleorange,b''
499,1619,carwhite,b''
500,1620,truckwhite,b''
501,1622,carwhite,b''
502,1623,busyellow,b''
503,1624,carwhite,b''
504,1625,motorcyclegreen,b''
505,1626,busyellow,b''
506,1627,carwhite,b''
507,1628,motorcyclegreen,b''
508,1633,motorcyclegreen,b''
509,1644,truckwhite,b''
510,1648,busyellow,b''
511,1651,truckyellow,b' \n\n'
512,1654,truckwhite,b' \n\n'
513,1656,truckwhite,b' \n\n'
514,1657,busyellow,"b""Cr\xe2\x80\x98 \xe2\x80\x98|i' \n\n"""
515,1657,truckwhite,"b""Cr\xe2\x80\x98 \xe2\x80\x98|i' \n\n"""
516,1659,busyellow,"b""Cr\xe2\x80\x98 \xe2\x80\x98|i' \n\n"""
517,1662,busyellow,"b'Cr\xe2\x80\x98 \xe2\x80\x98|"" \n\n'"
518,1663,truckyellow,"b'\xe2\x80\x98tr\xe2\x80\x99 \xe2\x80\x98|"" \n\n'"
519,1669,truckyellow,b'\xe2\x80\x98tr\xe2\x80\x99 \xe2\x80\x98|\xe2\x80\x9c \n\n'
520,1669,carwhite,b'\xe2\x80\x98tr\xe2\x80\x99 \xe2\x80\x98|\xe2\x80\x9c \n\n'
521,1674,carwhite,b'\xe2\x80\x98tr\xe2\x80\x99 \xe2\x80\x9c \n\n'
522,1674,carwhite,b'\xe2\x80\x98tr\xe2\x80\x99 \xe2\x80\x9c \n\n'
523,1676,carwhite,b'\xe2\x80\x98tr\xe2\x80\x99 \xe2\x80\x9c \n\n'
524,1689,carwhite,b''
525,1697,carwhite,b''
526,1699,carwhite,b''
527,1700,buswhite,b' \n\n'
528,1701,carwhite,b' \n\n'
529,1701,truckgreen,b' \n\n'
530,1703,carwhite,b' \n\n'
531,1711,carwhite,b' \n\n'
532,1714,truckyellow,b' \n\n'
533,1720,carwhite,b''
534,1721,truckorange,b''
535,1722,truckred,b''
536,1724,carorange,b''
537,1725,carwhite,b''
538,1728,carorange,b''
539,1730,truckgreen,b''
540,1732,truckyellow,b''
541,1735,carorange,b''
542,1737,cargreen,b''
543,1739,carorange,b''
544,1740,truckyellow,b''
545,1741,truckyellow,b''
546,1744,truckyellow,b''
547,1747,truckyellow,b''
548,1750,busyellow,b''
549,1750,carorange,b''
550,1750,truckgreen,b''
551,1757,busgreen,b''
552,1757,truckgreen,b''
553,1760,truckyellow,b''
554,1760,carorange,b''
555,1760,motorcycleorange,b''
556,1763,truckorange,b''
557,1765,motorcycleorange,b''
558,1767,truckorange,b''
559,1768,busgreen,b''
560,1768,motorcycleorange,b''
561,1780,busgreen,b''
562,1782,truckorange,b''
563,1794,busgreen,b''
564,1802,motorcyclegreen,b''
565,1802,caryellow,b''
566,1810,truckgreen,"b""'4\xe2\x80\x9c.-AL ~-~ \n\n"""
567,1818,caryellow,"b""'4\xe2\x80\x9c.-AL ~-~ \n\n"""
568,1821,truckgreen,"b""'4\xe2\x80\x9c.-AL ~-~ \n\n"""
569,1825,busyellow,"b""'4\xe2\x80\x9c.-AL ~-~ \n\n"""
570,1826,truckorange,"b""'4\xe2\x80\x9c.-AL ~-~ \n\n"""
571,1828,truckorange,"b""'4\xe2\x80\x9c.-AL ~-~ \n\n"""
572,1831,motorcyclegreen,"b""'4\xe2\x80\x9c.-AL ~-~ \n\n"""
573,1833,busyellow,"b""'4\xe2\x80\x9c.-AL ~-~ \n\n"""
574,1844,truckgreen,b' \n\n'
575,1846,caryellow,"b""71%,\xc2\xbb, ,',.__,F V \xe2\x80\x98\n\n"""
576,1849,carwhite,b''
577,1851,truckgreen,b' \n\n'
578,1851,truckgreen,b' \n\n'
579,1852,cargreen,b' \n\n'
580,1855,busgreen,b' \n\n'
581,1857,truckyellow,b' \n\n'
582,1859,truckwhite,b' \n\n'
583,1861,busgreen,b' \n\n'
584,1866,busgreen,b' \n\n'
585,1868,busgreen,b' \n\n'
586,1869,busgreen,b''
587,1873,cargreen,b''
588,1874,busgreen,b''
589,1874,busyellow,b''
590,1876,cargreen,b''
